CustomerID_norm,FirstOrderDate,LastOrderDate,TotalOrders,TotalRevenue,AOV,RecencyDays,RepeatFlag,ChurnFlag,LastChannel,Segment (VIP/Loyal/At Risk/Lost)
COLLAB-ANH THƠ,08/04/2025,06/05/2025,4,4117600,1029400,349,1,0,Zalo,Loyal
COLLAB-HANG,17/08/2023,17/08/2023,1,747000,747000,977,0,1,Nowzone,Lost
COLLAB-HATRIET,17/05/2023,16/09/2025,6,15258000,2543000,216,1,0,Zalo,Loyal
COLLAB-HCM-MINHHUY,10/03/2026,10/03/2026,1,880000,880000,41,0,0,Zalo,Loyal
COLLAB-HCM-MTRANG,05/12/2021,30/12/2024,3,3752000,1250666.667,476,1,1,Nowzone,At Risk
COLLAB-HCM-TANGHIEU,31/12/2025,16/04/2026,2,6160000,3080000,4,1,0,Zalo,Loyal
COLLAB-LBTX,23/12/2025,23/12/2025,1,688000,688000,118,0,0,Collaborator,Loyal
COLLAB-LETRUNG,23/12/2025,31/12/2025,2,1100800,550400,110,1,0,Collaborator,Loyal
COLLAB-MANABU,21/07/2022,06/12/2023,12,16194750,1349562.5,866,1,1,Nowzone,Lost
COLLAB-MINHTAN,14/10/2025,05/11/2025,2,2988400,1494200,166,1,0,Zalo,Loyal
COLLAB-MOON,28/03/2024,12/01/2026,11,19687000,1789727.273,98,1,0,Nowzone,Loyal
COLLAB-NCSO,03/11/2024,07/11/2024,2,1010000,505000,529,1,1,Nowzone,At Risk
COLLAB-PHANHUNG,09/04/2026,09/04/2026,1,0,0,11,0,0,Collaborator,Loyal
COLLAB-PNBTHO,31/03/2021,31/03/2021,1,620000,620000,"1,846",0,1,Nowzone,Lost
COLLAB-PQHUY,25/12/2023,25/12/2023,1,1026000,1026000,847,0,1,Nowzone,Lost
COLLAB-TTR,16/04/2026,16/04/2026,1,1316000,1316000,4,0,0,Zalo,Loyal
COLLAB-TUANGAU,09/02/2026,09/02/2026,1,2368000,2368000,70,0,0,Collaborator,Loyal
CS-HCM-7GOLF,21/07/2024,21/07/2024,1,2880000,2880000,638,0,1,Collaborator,At Risk
CS-HCM-BBTN,22/10/2023,22/10/2023,1,1680000,1680000,911,0,1,Nowzone,Lost
KH000001,05/11/2025,05/11/2025,1,1375000,1375000,166,0,0,Tiki,Loyal
KH000002,19/12/2023,19/12/2023,1,468000,468000,853,0,1,Nowzone,Lost
KH000003,01/11/2025,01/11/2025,1,4700000,4700000,170,0,0,Takashimaya,Loyal
KH000004,30/11/2021,17/11/2025,12,9330520,777543.3333,154,1,0,Internal,Loyal
KH000006,01/11/2025,01/11/2025,1,7680000,7680000,170,0,0,Takashimaya,Loyal
KH000009,01/11/2025,05/04/2026,35,82351940,2352912.571,15,1,0,Takashimaya,VIP
KH000010,01/11/2025,19/04/2026,179,600074160,3352369.609,1,1,0,Takashimaya,VIP
KH000011,01/06/2021,19/02/2022,3,4270000,1423333.333,"1,521",1,1,Shopee,Lost
KH000012,24/06/2021,24/06/2021,1,830000,830000,"1,761",0,1,Shopee,Lost
KH000013,26/05/2021,24/06/2021,2,2822000,1411000,"1,761",1,1,Website,Lost
KH000014,24/06/2021,24/06/2021,1,800000,800000,"1,761",0,1,Shopee,Lost
KH000016,17/09/2021,21/04/2022,3,6529160,2176386.667,"1,460",1,1,Website,Lost
KH000020,12/08/2022,12/08/2022,1,315000,315000,"1,347",0,1,Internal,Lost
KH000021,24/02/2022,11/01/2023,3,9134400,3044800,"1,195",1,1,Internal,Lost
KH000022,11/01/2023,01/07/2023,3,1132000,377333.3333,"1,024",1,1,Internal,Lost
KH000023,05/01/2021,12/12/2022,8,4453000,556625,"1,225",1,1,Shopee,Lost
KH000024,23/06/2021,23/06/2021,1,880000,880000,"1,762",0,1,Internal,Lost
KH000025,01/11/2025,01/11/2025,1,1090000,1090000,170,0,0,Takashimaya,Loyal
KH000027,02/11/2025,02/11/2025,1,5500000,5500000,169,0,0,Takashimaya,Loyal
KH000028,02/11/2025,02/11/2025,1,1626000,1626000,169,0,0,Takashimaya,Loyal
KH000034,25/06/2021,25/06/2021,1,980000,980000,"1,760",0,1,Tiki,Lost
KH000035,07/06/2021,30/06/2025,22,94632300,4301468.182,294,1,0,Internal,Loyal
KH000037,28/06/2021,06/07/2021,2,4600000,2300000,"1,749",1,1,Internal,Lost
KH000038,05/11/2025,05/11/2025,1,1238000,1238000,166,0,0,Website,Loyal
KH000039,05/11/2025,29/01/2026,2,14180000,7090000,81,1,0,Website,Loyal
KH000046,01/07/2021,01/07/2021,1,800000,800000,"1,754",0,1,Nowzone,Lost
KH000049,25/06/2021,06/07/2021,2,1860000,930000,"1,749",1,1,Tiki,Lost
KH000050,29/04/2021,29/04/2021,1,394200,394200,"1,817",0,1,Website,Lost
KH000053,05/07/2021,28/10/2025,7,10725185,1532169.286,174,1,0,Nowzone,Loyal
KH000054,05/07/2021,05/07/2021,1,1080000,1080000,"1,750",0,1,Internal,Lost
KH000056,07/07/2021,07/07/2021,1,1828000,1828000,"1,748",0,1,Internal,Lost
KH000058,10/07/2021,10/07/2021,1,400000,400000,"1,745",0,1,Shopee,Lost
KH000059,03/11/2025,03/11/2025,1,450000,450000,168,0,0,Nowzone,Loyal
KH000062,10/07/2021,10/07/2021,1,800000,800000,"1,745",0,1,Lazada,Lost
KH000063,05/11/2025,05/11/2025,1,750000,750000,166,0,0,Internal,Loyal
KH000064,05/11/2025,28/11/2025,3,2156000,718666.6667,143,1,0,Zalo,Loyal
KH000068,07/07/2021,27/12/2022,6,14745400,2457566.667,"1,210",1,1,Internal,Lost
KH000072,28/02/2021,08/07/2021,2,3083000,1541500,"1,747",1,1,Facebook,Lost
KH000073,26/04/2021,21/02/2026,6,18982700,3163783.333,58,1,0,Internal,VIP
KH000074,19/06/2021,18/02/2024,13,8833880,679529.2308,792,1,1,Facebook,Lost
KH000075,14/06/2021,29/11/2023,11,41027700,3729790.909,873,1,1,Website,Lost
KH000076,27/10/2021,27/10/2021,1,1080000,1080000,"1,636",0,1,Internal,Lost
KH000077,21/07/2021,21/07/2021,1,650000,650000,"1,734",0,1,Shopee,Lost
KH000078,12/07/2021,02/10/2025,9,11735560,1303951.111,200,1,0,Facebook,Loyal
KH000079,12/07/2021,16/07/2021,2,1636800,818400,"1,739",1,1,Lazada,Lost
KH000080,23/07/2021,23/07/2021,1,880000,880000,"1,732",0,1,Shopee,Lost
KH000081,31/07/2025,31/07/2025,1,1080000,1080000,263,0,0,Website,Loyal
KH000084,26/02/2020,13/12/2021,5,5246000,1049200,"1,589",1,1,Zalo,Lost
KH000087,16/07/2021,16/07/2021,1,2260000,2260000,"1,739",0,1,Shopee,Lost
KH000090,20/01/2021,20/01/2021,1,1660000,1660000,"1,916",0,1,Facebook,Lost
KH000091,22/07/2021,22/07/2021,1,1680000,1680000,"1,733",0,1,Shopee,Lost
KH000093,04/11/2025,04/11/2025,1,1238000,1238000,167,0,0,Takashimaya,Loyal
KH000094,05/11/2025,07/11/2025,2,2850000,1425000,164,1,0,Facebook,Loyal
KH000095,23/07/2021,31/07/2021,2,7500000,3750000,"1,724",1,1,Facebook,Lost
KH000097,25/07/2021,25/07/2021,1,880000,880000,"1,730",0,1,Facebook,Lost
KH000099,29/07/2021,29/01/2026,13,20902800,1607907.692,81,1,0,Website,VIP
KH000100,05/11/2025,23/01/2026,2,9100000,4550000,87,1,0,Takashimaya,Loyal
KH000101,23/02/2021,16/03/2026,7,6232000,890285.7143,35,1,0,Website,Loyal
KH000102,30/07/2021,03/08/2021,2,1600000,800000,"1,721",1,1,Shopee,Lost
KH000103,01/08/2021,01/08/2021,1,2515699,2515699,"1,723",0,1,Lazada,Lost
KH000104,03/08/2021,03/08/2021,1,1108199,1108199,"1,721",0,1,Lazada,Lost
KH000105,07/11/2025,07/11/2025,1,3600000,3600000,164,0,0,Zalo,Loyal
KH000106,31/07/2021,31/07/2021,1,712000,712000,"1,724",0,1,Facebook,Lost
KH000107,31/07/2021,30/10/2024,2,4401000,2200500,537,1,1,Facebook,At Risk
KH000108,05/08/2021,05/08/2021,1,602171,602171,"1,719",0,1,Lazada,Lost
KH000109,04/08/2021,10/08/2021,3,4090999,1363666.333,"1,714",1,1,Lazada,Lost
KH000110,02/08/2021,13/03/2025,2,3684200,1842100,403,1,1,Website,At Risk
KH000111,08/08/2021,08/08/2021,1,1180000,1180000,"1,716",0,1,Internal,Lost
KH000114,11/08/2021,11/08/2021,1,850000,850000,"1,713",0,1,Facebook,Lost
KH000119,13/08/2021,13/08/2021,1,1560000,1560000,"1,711",0,1,Shopee,Lost
KH000120,03/08/2021,03/08/2021,1,1080000,1080000,"1,721",0,1,Shopee,Lost
KH000135,06/11/2025,06/11/2025,1,1680000,1680000,165,0,0,Takashimaya,Loyal
KH000137,12/12/2025,12/12/2025,1,2100000,2100000,129,0,0,Takashimaya,Loyal
KH000138,11/09/2021,11/09/2021,1,1900000,1900000,"1,682",0,1,Lazada,Lost
KH000139,06/11/2025,06/11/2025,1,450000,450000,165,0,0,Takashimaya,Loyal
KH000141,22/08/2021,22/08/2021,1,1561000,1561000,"1,702",0,1,Internal,Lost
KH000142,07/11/2025,07/11/2025,1,450000,450000,164,0,0,Website,Loyal
KH000143,08/09/2021,08/09/2021,1,1800000,1800000,"1,685",0,1,Tiki,Lost
KH000144,09/09/2021,25/11/2022,3,4890400,1630133.333,"1,242",1,1,Internal,Lost
KH000145,06/09/2021,18/11/2024,6,59748000,9958000,518,1,1,Website,At Risk
KH000147,11/09/2021,16/10/2023,5,6826220,1365244,917,1,1,Website,Lost
KH000150,05/10/2021,05/10/2021,1,2375000,2375000,"1,658",0,1,Lazada,Lost
KH000151,17/09/2021,17/09/2021,1,1380000,1380000,"1,676",0,1,Lazada,Lost
KH000158,17/09/2021,26/06/2023,4,8096000,2024000,"1,029",1,1,Facebook,Lost
KH000163,17/01/2022,17/01/2022,1,1380000,1380000,"1,554",0,1,Tiki,Lost
KH000166,19/09/2021,19/09/2021,1,673800,673800,"1,674",0,1,Lazada,Lost
KH000176,07/11/2025,07/11/2025,1,2176000,2176000,164,0,0,Takashimaya,Loyal
KH000177,23/09/2021,23/09/2021,1,1206380,1206380,"1,670",0,1,Lazada,Lost
KH000180,24/09/2021,24/09/2021,1,2275000,2275000,"1,669",0,1,Shopee,Lost
KH000181,27/09/2021,27/09/2021,1,1255800,1255800,"1,666",0,1,Shopee,Lost
KH000184,01/01/2024,18/04/2026,346,943537643,2726987.408,2,1,0,Shopee,VIP
KH000185,30/09/2021,25/11/2024,2,1804200,902100,511,1,1,Lazada,At Risk
KH000187,30/09/2021,02/03/2022,4,3556940,889235,"1,510",1,1,Lazada,Lost
KH000188,28/09/2021,28/09/2021,1,1800000,1800000,"1,665",0,1,Facebook,Lost
KH000190,11/10/2021,11/10/2021,1,880000,880000,"1,652",0,1,Internal,Lost
KH000192,02/03/2021,15/12/2023,14,9798600,699900,857,1,1,Nowzone,Lost
KH000198,01/10/2021,01/10/2021,2,3200000,1600000,"1,662",1,1,Facebook,Lost
KH000199,18/01/2021,29/12/2023,10,29704780,2970478,843,1,1,Facebook,Lost
KH000201,08/11/2025,08/11/2025,1,1350000,1350000,163,0,0,Takashimaya,Loyal
KH000202,14/01/2022,14/01/2022,1,394200,394200,"1,557",0,1,Zalo,Lost
KH000203,03/03/2021,08/08/2025,8,4563960,570495,255,1,0,Nowzone,Loyal
KH000204,09/02/2023,07/10/2025,8,7837100,979637.5,195,1,0,Zalo,Loyal
KH000207,05/10/2021,05/10/2021,1,0,0,"1,658",0,1,Lazada,Lost
KH000208,05/10/2021,05/10/2021,1,0,0,"1,658",0,1,Lazada,Lost
KH000209,08/10/2021,08/10/2021,1,1160000,1160000,"1,655",0,1,Nowzone,Lost
KH000210,08/10/2021,08/10/2021,1,1660000,1660000,"1,655",0,1,Website,Lost
KH000211,08/11/2025,08/11/2025,1,2998000,2998000,163,0,0,Takashimaya,Loyal
KH000212,08/11/2025,08/11/2025,1,1500000,1500000,163,0,0,Takashimaya,Loyal
KH000213,18/01/2021,16/10/2021,3,7812000,2604000,"1,647",1,1,Tiki,Lost
KH000214,09/11/2025,09/11/2025,1,1600000,1600000,162,0,0,Nowzone,Loyal
KH000215,10/10/2021,10/10/2021,1,620000,620000,"1,653",0,1,Website,Lost
KH000216,08/10/2021,08/10/2021,1,1800000,1800000,"1,655",0,1,Website,Lost
KH000218,10/10/2021,14/11/2021,2,5850000,2925000,"1,618",1,1,Zalo,Lost
KH000220,19/10/2021,19/10/2021,1,624530,624530,"1,644",0,1,Lazada,Lost
KH000221,12/10/2021,17/04/2023,3,1229901,409967,"1,099",1,1,Lazada,Lost
KH000222,13/10/2021,13/10/2021,1,3420000,3420000,"1,650",0,1,Nowzone,Lost
KH000223,12/10/2021,12/10/2021,1,1180000,1180000,"1,651",0,1,Nowzone,Lost
KH000225,09/11/2025,24/11/2025,2,14758520,7379260,147,1,0,Takashimaya,Loyal
KH000226,09/11/2025,15/03/2026,3,7620000,2540000,36,1,0,Takashimaya,Loyal
KH000227,13/10/2021,13/10/2021,1,800000,800000,"1,650",0,1,Shopee,Lost
KH000228,13/10/2021,11/11/2021,2,1552000,776000,"1,621",1,1,Shopee,Lost
KH000230,14/10/2021,17/10/2021,2,2300000,1150000,"1,646",1,1,Nowzone,Lost
KH000234,26/10/2021,26/10/2021,1,1860000,1860000,"1,637",0,1,Shopee,Lost
KH000235,16/10/2021,20/01/2022,3,2098000,699333.3333,"1,551",1,1,Tiki,Lost
KH000236,17/10/2021,17/10/2021,1,730000,730000,"1,646",0,1,Website,Lost
KH000237,18/10/2021,18/10/2021,1,3600000,3600000,"1,645",0,1,Website,Lost
KH000239,20/10/2021,20/10/2021,1,580000,580000,"1,643",0,1,Lazada,Lost
KH000240,18/10/2021,26/11/2021,2,12975000,6487500,"1,606",1,1,Facebook,Lost
KH000241,19/10/2021,28/04/2025,5,7768000,1553600,357,1,0,Nowzone,Loyal
KH000242,19/10/2021,28/01/2023,2,3890000,1945000,"1,178",1,1,Website,Lost
KH000243,19/10/2021,19/10/2021,1,1900000,1900000,"1,644",0,1,Nowzone,Lost
KH000244,19/01/2021,29/12/2023,6,31402400,5233733.333,843,1,1,Facebook,Lost
KH000245,22/10/2021,22/10/2021,1,250000,250000,"1,641",0,1,Lazada,Lost
